Epoch,Loss,IOU_Train,IOU_Val,Time
422,0.059391,0.8411,0.2892,41.76
423,0.059052,0.8418,0.2993,41.75
424,0.058843,0.8423,0.3575,41.75
425,0.058979,0.8418,0.3380,41.72
426,0.059061,0.8419,0.4049,41.75
427,0.059015,0.8418,0.3058,41.74
428,0.058558,0.8432,0.2746,41.74
429,0.058603,0.8430,0.2527,41.73
430,0.058495,0.8432,0.3703,41.75
431,0.058831,0.8426,0.2761,41.75
432,0.058280,0.8436,0.2944,41.69
433,0.058289,0.8437,0.2502,41.69
434,0.058037,0.8443,0.3157,41.75
435,0.058171,0.8442,0.2098,41.77
436,0.057888,0.8446,0.2452,41.75
437,0.057977,0.8445,0.2941,41.77
438,0.057839,0.8449,0.3733,41.78
439,0.057687,0.8451,0.2858,41.70
440,0.057895,0.8448,0.2952,41.69
441,0.057601,0.8453,0.2025,41.71
442,0.057735,0.8452,0.3594,41.71
443,0.057494,0.8457,0.1877,41.71
444,0.057826,0.8449,0.1897,41.73
445,0.057322,0.8462,0.3158,41.71
446,0.057253,0.8465,0.2665,41.70
447,0.057417,0.8460,0.2805,41.71
448,0.057174,0.8467,0.2628,41.70
449,0.057096,0.8467,0.1882,41.76
450,0.056977,0.8471,0.1705,41.91
451,0.056773,0.8478,0.2837,41.76
452,0.056924,0.8472,0.2748,41.76
453,0.056970,0.8472,0.2237,41.74
454,0.056842,0.8475,0.2488,41.78
455,0.056795,0.8476,0.2191,41.75
456,0.056642,0.8478,0.2965,41.77
457,0.056575,0.8480,0.2163,41.70
458,0.056424,0.8486,0.3589,41.96
459,0.056203,0.8490,0.3651,41.73
460,0.056299,0.8489,0.2123,41.70
461,0.056159,0.8492,0.2675,41.75
462,0.056217,0.8489,0.3122,41.74
463,0.056205,0.8490,0.2801,41.71
464,0.055963,0.8497,0.3407,41.87
465,0.055979,0.8497,0.2781,42.01
466,0.056200,0.8492,0.3381,41.95
467,0.055781,0.8501,0.3038,41.80
468,0.055709,0.8504,0.2787,41.78
469,0.055725,0.8502,0.2925,43.02
470,0.055646,0.8505,0.3107,41.77
471,0.055513,0.8507,0.2848,41.75
472,0.055499,0.8509,0.3356,41.76
473,0.055433,0.8511,0.2016,41.75
474,0.055386,0.8511,0.2372,41.74
475,0.055262,0.8515,0.2503,41.76
476,0.055444,0.8511,0.2249,41.73
477,0.055152,0.8519,0.3405,41.74
478,0.055050,0.8520,0.3193,41.70
479,0.055179,0.8519,0.2506,41.72
480,0.055269,0.8515,0.2050,41.69
481,0.054875,0.8524,0.1859,41.90
482,0.054759,0.8530,0.2460,41.75
483,0.054895,0.8526,0.3166,41.73
484,0.054768,0.8529,0.2499,41.73
485,0.054638,0.8530,0.3297,41.86
486,0.054998,0.8522,0.2960,41.73
487,0.054329,0.8538,0.2565,41.78
488,0.054325,0.8538,0.2531,41.75
489,0.054317,0.8538,0.2063,41.75
490,0.054422,0.8537,0.3911,41.76
491,0.054468,0.8536,0.2859,41.71
492,0.054142,0.8545,0.3875,41.70
493,0.054177,0.8544,0.3145,41.71
494,0.053929,0.8550,0.2912,41.82
495,0.054119,0.8547,0.2388,41.72
496,0.054108,0.8547,0.2256,41.70
497,0.053904,0.8552,0.2405,41.71
498,0.053838,0.8553,0.2722,41.75
499,0.053740,0.8557,0.3734,41.75
