Epoch,Loss,IOU_Train,IOU_Val,Time
223,0.132547,0.7124,0.5211,40.95
224,0.132388,0.7124,0.4082,40.96
225,0.132233,0.7127,0.5381,40.96
226,0.131762,0.7135,0.4817,40.93
227,0.131938,0.7129,0.4933,40.95
228,0.132026,0.7130,0.4928,40.93
229,0.131772,0.7132,0.5568,40.92
230,0.131911,0.7127,0.4090,40.92
231,0.131669,0.7134,0.5337,40.99
232,0.131776,0.7136,0.5509,40.95
233,0.130732,0.7142,0.5544,40.95
234,0.132330,0.7130,0.5213,40.96
235,0.130793,0.7141,0.4858,40.92
236,0.131377,0.7135,0.4572,40.93
237,0.130964,0.7141,0.3727,40.92
238,0.130790,0.7142,0.4909,40.92
239,0.130855,0.7144,0.5277,40.97
240,0.130523,0.7149,0.4441,40.96
241,0.130797,0.7147,0.4499,40.98
242,0.130670,0.7146,0.5159,40.95
243,0.130825,0.7144,0.5569,40.97
244,0.130442,0.7151,0.5028,40.97
245,0.130568,0.7148,0.5050,40.96
246,0.130296,0.7152,0.5217,41.00
247,0.130085,0.7154,0.5111,40.94
248,0.130397,0.7150,0.4883,40.98
249,0.130212,0.7151,0.5366,40.94
250,0.130426,0.7154,0.4965,40.93
251,0.130231,0.7148,0.5473,40.93
252,0.129608,0.7159,0.5463,40.92
253,0.129602,0.7160,0.5522,40.92
254,0.129558,0.7157,0.5392,40.92
255,0.129653,0.7160,0.4393,40.91
256,0.129909,0.7158,0.4788,40.93
257,0.129484,0.7162,0.5529,40.95
258,0.129515,0.7163,0.4838,40.95
259,0.129313,0.7162,0.4349,40.95
260,0.129523,0.7165,0.5464,40.94
261,0.129472,0.7167,0.5259,40.94
262,0.129122,0.7169,0.4986,40.96
263,0.129147,0.7161,0.5399,40.95
264,0.129022,0.7170,0.4386,40.95
265,0.129173,0.7165,0.3411,40.95
266,0.129139,0.7164,0.4660,40.91
267,0.128930,0.7172,0.5359,40.93
268,0.128813,0.7172,0.4858,40.93
269,0.129012,0.7166,0.4679,40.92
270,0.128365,0.7180,0.4961,40.92
271,0.128688,0.7173,0.5217,40.95
272,0.128328,0.7174,0.5195,40.94
273,0.128851,0.7175,0.4358,40.95
274,0.128402,0.7180,0.5382,40.95
275,0.128272,0.7175,0.4332,40.95
276,0.128574,0.7173,0.5121,40.94
277,0.128183,0.7180,0.5423,40.95
278,0.128284,0.7178,0.5430,40.94
279,0.128217,0.7177,0.4884,40.94
280,0.128037,0.7183,0.3777,40.92
281,0.127968,0.7183,0.3585,40.94
282,0.128040,0.7187,0.4687,40.94
283,0.127632,0.7188,0.5363,40.93
284,0.127601,0.7189,0.5271,41.11
285,0.127353,0.7189,0.5358,40.95
286,0.127514,0.7192,0.4860,40.93
287,0.127669,0.7188,0.5627,40.90
288,0.127382,0.7191,0.2255,40.91
289,0.127609,0.7189,0.4781,40.91
290,0.127300,0.7194,0.5531,40.96
291,0.127330,0.7191,0.5477,40.95
292,0.127332,0.7193,0.4741,40.94
293,0.127450,0.7193,0.5175,40.93
294,0.127303,0.7193,0.5305,40.96
295,0.127070,0.7196,0.5614,40.96
296,0.127200,0.7195,0.5391,41.13
297,0.127334,0.7194,0.5222,40.95
298,0.127267,0.7192,0.5470,40.95
299,0.127122,0.7194,0.5443,40.97
300,0.127059,0.7196,0.5104,40.94
301,0.126893,0.7202,0.5173,40.95
302,0.126522,0.7204,0.5409,40.95
303,0.126819,0.7197,0.5027,40.91
304,0.126449,0.7207,0.5569,40.92
305,0.126797,0.7200,0.5205,40.93
306,0.126387,0.7202,0.4687,40.99
307,0.126407,0.7206,0.5551,40.93
308,0.126409,0.7207,0.4306,40.95
309,0.126388,0.7205,0.5014,40.94
310,0.126275,0.7211,0.5296,40.91
311,0.126379,0.7208,0.5380,40.91
312,0.126107,0.7208,0.5297,40.93
313,0.126161,0.7208,0.4967,40.95
314,0.126350,0.7204,0.5447,40.95
315,0.125996,0.7212,0.5496,41.06
316,0.126302,0.7208,0.5481,41.04
317,0.125748,0.7212,0.5245,40.94
318,0.126094,0.7209,0.5447,40.95
319,0.126242,0.7208,0.4879,40.95
320,0.126045,0.7208,0.5281,40.94
321,0.125714,0.7214,0.5379,40.93
322,0.125914,0.7211,0.5382,40.93
323,0.126069,0.7214,0.4896,40.92
324,0.125548,0.7216,0.4586,40.92
325,0.125753,0.7215,0.5388,40.94
326,0.125464,0.7217,0.5538,40.95
327,0.125243,0.7219,0.5187,40.94
328,0.125366,0.7221,0.4883,40.92
329,0.125419,0.7217,0.4841,40.91
330,0.125196,0.7222,0.5173,40.94
331,0.125547,0.7217,0.5632,40.95
332,0.125152,0.7223,0.5329,40.95
333,0.125436,0.7218,0.5244,40.95
334,0.124954,0.7226,0.5202,40.97
335,0.125037,0.7225,0.5608,40.94
336,0.125270,0.7221,0.5377,40.94
